Ticker symbol,Security,SEC filings,GICS Sector,GICS Sub Industry,Address of Headquarters,Date first added,CIK,
KO,The Coca Cola Company,reports,Consumer Staples,Soft Drinks,Atlanta, Georgia,,0000021344,/wiki/The_Coca_Cola_Company
CCE,Coca-Cola Enterprises,reports,Consumer Staples,Soft Drinks,Atlanta, Georgia,,0001491675,/wiki/Coca-Cola_Enterprises
CTSH,Cognizant Technology Solutions,reports,Information Technology,IT Consulting & Services,Teaneck, New Jersey,,0001058290,/wiki/Cognizant_Technology_Solutions
CL,Colgate-Palmolive,reports,Consumer Staples,Household Products,New York, New York,,0000021665,/wiki/Colgate-Palmolive
CPGX,Columbia Pipeline Group Inc,reports,Energy,Oil & Gas Storage & Transportation,Houston, Texas,2015-07-02,0001629995,/w/index.php?title=Columbia_Pipeline_Group_Inc&action=edit&redlink=1
CMCSA,Comcast A Corp,reports,Consumer Discretionary,Broadcasting & Cable TV,Philadelphia, Pennsylvania,,0001166691,/wiki/Comcast_A_Corp
CMA,Comerica Inc.,reports,Financials,Banks,Dallas, Texas,,0000028412,/wiki/Comerica_Inc.
CAG,ConAgra Foods Inc.,reports,Consumer Staples,Packaged Foods & Meats,Omaha, Nebraska,1983-08-31,0000023217,/wiki/ConAgra_Foods_Inc.
CXO,Concho Resources,reports,Energy,Oil & Gas Exploration & Production,Midland, Texas,2016-02-22,0001358071,/wiki/Concho_Resources
COP,ConocoPhillips,reports,Energy,Oil & Gas Exploration & Production,Houston, Texas,,0001163165,/wiki/ConocoPhillips
ED,Consolidated Edison,reports,Utilities,Electric Utilities,New York, New York,,0001047862,/wiki/Consolidated_Edison
STZ,Constellation Brands,reports,Consumer Staples,Distillers & Vintners,Victor, New York,,0000016918,/wiki/Constellation_Brands
GLW,Corning Inc.,reports,Industrials,Construction & Engineering,Corning, New York,,0000024741,/wiki/Corning_Inc.
COST,Costco Co.,reports,Consumer Staples,Hypermarkets & Super Centers,Issaquah, Washington,1993-10-01,0000909832,/wiki/Costco_Co.
CCI,Crown Castle International Corp.,reports,Financials,REITs,Houston, Texas,2012-03-14,0001051470,/wiki/Crown_Castle_International_Corp.
CSRA,CSRA Inc.,reports,Information Technology,IT Consulting & Services,Falls Church, Virginia,2015-12-01,0001646383,/wiki/CSRA_(IT_services_company)
CSX,CSX Corp.,reports,Industrials,Railroads,Jacksonville, Florida,1967-09-30,0000277948,/wiki/CSX_Corp.
CMI,Cummins Inc.,reports,Industrials,Industrial Machinery,Columbus, Indiana,1965-03-31,0000026172,/wiki/Cummins_Inc.
CVS,CVS Health,reports,Consumer Staples,Drug Retail,Woonsocket, Rhode Island,,0000064803,/wiki/CVS_Health
DHI,D. R. Horton,reports,Consumer Discretionary,Homebuilding,Fort Worth, Texas,,0000882184,/wiki/D._R._Horton
DHR,Danaher Corp.,reports,Industrials,Industrial Machinery,Washington D.C,,0000313616,/wiki/Danaher_Corp.
DRI,Darden Restaurants,reports,Consumer Discretionary,Restaurants,Orlando, Florida,,0000940944,/wiki/Darden_Restaurants
DVA,DaVita Inc.,reports,Health Care,Health Care Facilities,Denver, Colorado,2008-07-31,0000927066,/wiki/DaVita_Inc.
DE,Deere & Co.,reports,Industrials,Construction & Farm Machinery & Heavy Trucks,Moline, Illinois,,0000315189,/wiki/Deere_%26_Co.
DLPH,Delphi Automotive,reports,Consumer Discretionary,Auto Parts & Equipment,Gillingham, Kent, United Kingdom,2012-12-24,0001521332,/wiki/Delphi_Automotive
DAL,Delta Air Lines,reports,Industrials,Airlines,Atlanta, Georgia,2013-09-11,0000027904,/wiki/Delta_Air_Lines
XRAY,Dentsply Sirona,reports,Health Care,Health Care Supplies,York, Pennsylvania,2008-11-14,0000818479,/wiki/Dentsply_Sirona
DVN,Devon Energy Corp.,reports,Energy,Oil & Gas Exploration & Production,Oklahoma City, Oklahoma,,0001090012,/wiki/Devon_Energy_Corp.
DO,Diamond Offshore Drilling,reports,Energy,Oil & Gas Drilling,Houston, Texas,2009-02-26,0000949039,/wiki/Diamond_Offshore_Drilling
